Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Asus,Workstation,15.6,4K,Apple M1,8,256GB SSD,Nvidia RTX 3050,Linux,2.07,106417
Dell,Workstation,16.0,Retina,Intel Core i7,32,1TB SSD,Intel Iris,Windows 11,2.37,81728
Acer,Ultrabook,13.3,Retina,Intel Core i7,8,512GB SSD,Nvidia GTX 1650,Linux,1.64,67209
HP,Gaming,14.0,Retina,Intel Core i5,32,512GB SSD,Nvidia GTX 1650,Linux,2.1,60555
Asus,Notebook,13.3,Retina,Apple M2,16,512GB SSD,Nvidia GTX 1650,macOS,2.23,85506
Lenovo,Workstation,15.6,4K,Apple M2,16,1TB SSD,Intel UHD,Windows 10,2.05,107996
MSI,Ultrabook,14.0,Retina,Intel Core i7,32,1TB SSD,Intel UHD,Windows 10,1.97,93420
Asus,Notebook,14.0,Full HD,Intel Core i5,32,256GB SSD,Nvidia GTX 1650,Windows 11,1.39,50252
Asus,Notebook,13.3,Full HD,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 3050,Windows 10,2.37,84027
MSI,Workstation,14.0,Retina,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,Windows 10,2.49,59666
Dell,Notebook,15.6,Full HD,AMD Ryzen 7,8,512GB SSD,Intel Iris,Windows 11,1.3,54392
MSI,Gaming,14.0,Full HD,Intel Core i7,32,1TB SSD,Intel Iris,Windows 10,1.95,93239
Asus,Ultrabook,16.0,4K,Intel Core i5,32,256GB SSD,Nvidia RTX 3050,Linux,2.35,87303
Dell,Gaming,14.0,Retina,Apple M2,8,1TB SSD,AMD Radeon,Windows 10,1.27,85212
Asus,Gaming,15.6,Retina,AMD Ryzen 7,16,512GB SSD,Intel UHD,Windows 11,1.39,78614
Apple,Notebook,13.3,Full HD,AMD Ryzen 7,32,256GB SSD,AMD Radeon,macOS,2.13,129074
Dell,Gaming,15.6,Retina,AMD Ryzen 7,32,1TB SSD,Nvidia RTX 3050,Windows 10,2.06,110339
Acer,Notebook,14.0,Retina,Intel Core i7,16,512GB SSD,Nvidia GTX 1650,Windows 11,2.48,68640
Apple,Workstation,14.0,Retina,Intel Core i5,16,256GB SSD,Intel Iris,macOS,2.12,112131
Apple,Gaming,16.0,Full HD,Apple M1,8,1TB SSD,AMD Radeon,macOS,1.22,153574
Lenovo,Gaming,13.3,4K,Apple M2,8,512GB SSD,Nvidia GTX 1650,macOS,2.43,73227
Asus,Workstation,14.0,4K,Intel Core i5,32,512GB SSD,Intel UHD,macOS,1.6,48525
Apple,Gaming,15.6,Full HD,Intel Core i5,16,1TB SSD,Intel UHD,macOS,2.24,124402
Apple,Ultrabook,16.0,Retina,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,macOS,2.14,117838
Acer,Notebook,15.6,Full HD,Apple M2,16,512GB SSD,AMD Radeon,Linux,1.7,91352
Apple,Ultrabook,14.0,Retina,AMD Ryzen 7,8,512GB SSD,AMD Radeon,macOS,2.4,122997
Asus,Gaming,13.3,Full HD,Intel Core i7,16,512GB SSD,Intel Iris,Windows 11,2.11,74612
MSI,Gaming,13.3,4K,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 3050,macOS,1.23,90392
Acer,Workstation,15.6,Retina,AMD Ryzen 5,32,256GB SSD,Nvidia RTX 3050,Windows 10,2.34,80818
Apple,Ultrabook,16.0,4K,AMD Ryzen 5,32,1TB SSD,Intel UHD,macOS,1.88,133270
Dell,Notebook,13.3,Retina,AMD Ryzen 7,8,1TB SSD,Nvidia RTX 3050,Windows 10,1.38,98488
MSI,Workstation,15.6,Retina,Intel Core i5,32,256GB SSD,Nvidia GTX 1650,Windows 10,2.45,57321
Acer,Notebook,16.0,4K,Apple M2,16,256GB SSD,Nvidia GTX 1650,Windows 11,2.27,87109
Acer,Ultrabook,14.0,4K,Apple M1,8,512GB SSD,Intel Iris,Windows 11,1.92,77495
Dell,Gaming,13.3,Full HD,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,Windows 11,2.06,66416
MSI,Gaming,15.6,Full HD,Intel Core i7,32,1TB SSD,AMD Radeon,macOS,1.25,91237
Apple,Ultrabook,13.3,4K,Intel Core i7,32,256GB SSD,Intel UHD,macOS,2.3,134711
Lenovo,Gaming,14.0,Retina,AMD Ryzen 7,16,512GB SSD,Nvidia GTX 1650,Windows 10,1.47,73085
MSI,Notebook,13.3,Full HD,Apple M1,8,256GB SSD,Nvidia RTX 3050,macOS,1.42,94990
MSI,Notebook,14.0,4K,Intel Core i5,8,512GB SSD,Nvidia GTX 1650,Windows 10,1.69,41565
Lenovo,Ultrabook,13.3,4K,AMD Ryzen 7,8,256GB SSD,Nvidia RTX 3050,Linux,1.38,80041
Lenovo,Notebook,14.0,4K,Intel Core i5,16,256GB SSD,Intel Iris,Linux,1.9,50814
Asus,Workstation,13.3,4K,AMD Ryzen 7,16,512GB SSD,Intel UHD,Windows 11,1.79,80657
Acer,Notebook,13.3,Full HD,Apple M2,16,512GB SSD,Nvidia GTX 1650,Linux,1.76,92233
Dell,Ultrabook,13.3,Retina,Intel Core i7,16,256GB SSD,AMD Radeon,macOS,2.04,73542
HP,Ultrabook,13.3,4K,AMD Ryzen 7,8,256GB SSD,Nvidia GTX 1650,Windows 10,2.17,56289
Asus,Gaming,13.3,Retina,AMD Ryzen 7,32,1TB SSD,Intel UHD,Windows 11,1.36,84516
HP,Ultrabook,15.6,Retina,Apple M1,8,256GB SSD,Intel UHD,Linux,1.65,82995
Apple,Ultrabook,16.0,Full HD,Apple M2,8,256GB SSD,Intel UHD,macOS,1.79,130870
MSI,Gaming,14.0,4K,Intel Core i7,32,1TB SSD,Nvidia GTX 1650,Linux,2.39,93965
Apple,Notebook,15.6,4K,Intel Core i7,16,512GB SSD,AMD Radeon,macOS,2.12,142392
Apple,Gaming,15.6,Full HD,Intel Core i5,16,512GB SSD,Nvidia RTX 3050,macOS,1.79,146895
Lenovo,Gaming,14.0,Retina,Intel Core i5,8,1TB SSD,AMD Radeon,macOS,1.64,55380
Acer,Gaming,14.0,4K,Intel Core i5,16,1TB SSD,Intel Iris,Windows 10,1.75,70704
Dell,Ultrabook,16.0,Retina,Apple M1,16,512GB SSD,Nvidia RTX 3050,Linux,1.36,121580
MSI,Gaming,14.0,Retina,AMD Ryzen 5,32,512GB SSD,Intel UHD,Linux,2.31,60972
Asus,Ultrabook,14.0,Full HD,Apple M1,8,256GB SSD,AMD Radeon,Windows 10,1.9,73093
Lenovo,Ultrabook,13.3,Retina,Intel Core i7,8,1TB SSD,Nvidia GTX 1650,macOS,1.95,79191
Apple,Notebook,15.6,Retina,Apple M1,16,1TB SSD,Nvidia GTX 1650,macOS,2.28,169737
MSI,Notebook,14.0,Full HD,Apple M1,8,512GB SSD,Nvidia RTX 3050,macOS,2.13,107942
Lenovo,Workstation,15.6,4K,Apple M2,16,256GB SSD,Nvidia GTX 1650,macOS,2.37,95796
Acer,Ultrabook,15.6,Full HD,Intel Core i7,32,1TB SSD,Nvidia RTX 3050,macOS,2.41,104208
Dell,Notebook,13.3,Retina,Apple M2,8,512GB SSD,Intel UHD,Windows 10,1.21,75889
Apple,Gaming,15.6,4K,AMD Ryzen 7,16,512GB SSD,Intel UHD,macOS,1.9,129465
Asus,Ultrabook,13.3,Full HD,Apple M1,32,256GB SSD,Intel Iris,Windows 10,1.22,92927
Asus,Workstation,16.0,Retina,Intel Core i5,16,256GB SSD,Nvidia RTX 3050,Windows 10,1.68,74694
Lenovo,Workstation,16.0,Retina,AMD Ryzen 5,8,512GB SSD,Nvidia RTX 3050,Linux,1.51,67442
Apple,Gaming,16.0,Retina,Intel Core i5,8,1TB SSD,AMD Radeon,macOS,1.67,115974
Acer,Ultrabook,15.6,4K,Intel Core i7,16,1TB SSD,Nvidia GTX 1650,Linux,2.45,89920
HP,Notebook,16.0,Full HD,Intel Core i7,16,1TB SSD,Nvidia GTX 1650,Linux,1.23,80140
Dell,Workstation,14.0,Retina,Intel Core i5,8,1TB SSD,Intel UHD,Linux,2.13,56291
Lenovo,Ultrabook,14.0,Full HD,Apple M2,32,512GB SSD,Intel Iris,macOS,1.38,90324
Asus,Workstation,14.0,4K,Apple M1,16,512GB SSD,Nvidia GTX 1650,Windows 10,1.25,94874
Lenovo,Ultrabook,15.6,Full HD,Apple M2,8,1TB SSD,Nvidia GTX 1650,Windows 11,2.05,83872
Lenovo,Ultrabook,15.6,4K,Intel Core i5,16,512GB SSD,Nvidia RTX 3050,Windows 11,2.4,76906
Asus,Workstation,14.0,Retina,AMD Ryzen 5,16,256GB SSD,Intel UHD,macOS,1.93,56879
MSI,Gaming,16.0,4K,Intel Core i7,16,256GB SSD,Nvidia RTX 3050,macOS,1.27,107732
Dell,Workstation,15.6,Retina,Intel Core i5,32,512GB SSD,Nvidia RTX 3050,Linux,2.45,78191
Acer,Ultrabook,16.0,Full HD,Intel Core i5,8,256GB SSD,Intel UHD,macOS,1.53,39301
Dell,Gaming,14.0,Full HD,AMD Ryzen 5,16,256GB SSD,Intel Iris,Linux,1.35,54146
Apple,Notebook,16.0,4K,Intel Core i5,32,512GB SSD,Nvidia GTX 1650,macOS,1.4,116216
Apple,Notebook,15.6,Full HD,AMD Ryzen 5,32,512GB SSD,Nvidia RTX 3050,macOS,1.8,138404
Asus,Ultrabook,16.0,4K,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3050,macOS,2.34,106922
Acer,Ultrabook,15.6,Full HD,Apple M2,32,1TB SSD,Intel UHD,Windows 10,1.22,103348
HP,Gaming,14.0,Retina,AMD Ryzen 5,32,256GB SSD,Intel Iris,Windows 10,1.89,55508
Acer,Gaming,15.6,Full HD,AMD Ryzen 5,32,512GB SSD,Nvidia RTX 3050,Windows 10,1.37,83596
HP,Workstation,14.0,4K,Intel Core i7,16,256GB SSD,Intel Iris,Linux,1.89,76663
HP,Workstation,14.0,Retina,Apple M2,32,1TB SSD,Nvidia RTX 3050,Linux,2.1,134651
Acer,Notebook,15.6,Full HD,Apple M2,8,256GB SSD,AMD Radeon,Windows 10,1.4,76513
Asus,Workstation,14.0,Retina,Apple M2,32,1TB SSD,Nvidia RTX 3050,macOS,2.19,121171
Acer,Notebook,13.3,Retina,AMD Ryzen 7,16,1TB SSD,Intel Iris,Windows 11,2.34,81136
HP,Ultrabook,14.0,Retina,Intel Core i7,16,512GB SSD,Intel Iris,Windows 11,1.83,70281
Dell,Gaming,15.6,4K,AMD Ryzen 5,8,512GB SSD,Nvidia GTX 1650,Windows 11,1.26,37737
Dell,Ultrabook,14.0,4K,Apple M1,16,512GB SSD,Nvidia RTX 3050,macOS,1.82,120352
Dell,Notebook,15.6,Full HD,AMD Ryzen 5,8,512GB SSD,Intel Iris,Windows 11,2.25,33453
HP,Notebook,14.0,Full HD,AMD Ryzen 7,16,256GB SSD,Intel UHD,macOS,2.16,71188
Asus,Ultrabook,16.0,Full HD,Apple M2,8,1TB SSD,AMD Radeon,Linux,1.47,91153
MSI,Notebook,15.6,Full HD,Apple M1,32,512GB SSD,Nvidia RTX 3050,macOS,2.43,114758
Asus,Ultrabook,14.0,Retina,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 3050,Windows 10,1.39,100101
Apple,Workstation,15.6,Full HD,Intel Core i7,8,1TB SSD,AMD Radeon,macOS,1.32,137141
HP,Gaming,16.0,Full HD,Apple M1,32,256GB SSD,Nvidia GTX 1650,Linux,2.42,96760
Apple,Ultrabook,14.0,4K,Intel Core i5,8,512GB SSD,Nvidia RTX 3050,macOS,1.87,127288
Asus,Ultrabook,13.3,Full HD,AMD Ryzen 7,16,512GB SSD,Nvidia GTX 1650,macOS,2.41,75618
Asus,Notebook,13.3,Retina,Intel Core i5,16,256GB SSD,Intel UHD,Windows 10,2.09,62673
Apple,Workstation,16.0,4K,Intel Core i5,8,256GB SSD,Intel UHD,macOS,2.34,100349
HP,Ultrabook,15.6,Retina,AMD Ryzen 7,16,1TB SSD,Intel UHD,Linux,1.9,90343
Lenovo,Gaming,15.6,Full HD,Intel Core i5,32,256GB SSD,AMD Radeon,Windows 10,1.27,62770
Apple,Notebook,15.6,Retina,Apple M2,32,1TB SSD,AMD Radeon,macOS,1.89,159254
Apple,Gaming,16.0,Retina,Intel Core i7,16,256GB SSD,Nvidia GTX 1650,macOS,2.42,136799
Apple,Gaming,16.0,Retina,Apple M1,16,512GB SSD,Intel Iris,macOS,1.57,151568
HP,Workstation,13.3,Full HD,AMD Ryzen 7,16,1TB SSD,Intel UHD,Linux,1.53,87936
Apple,Ultrabook,13.3,Full HD,Apple M2,16,512GB SSD,Intel UHD,macOS,1.43,157197
Acer,Notebook,15.6,4K,AMD Ryzen 5,16,512GB SSD,AMD Radeon,Windows 10,2.29,59840
Dell,Ultrabook,13.3,4K,Apple M1,32,256GB SSD,Intel UHD,Linux,1.59,85030
Dell,Notebook,14.0,Retina,Intel Core i7,8,1TB SSD,AMD Radeon,Windows 11,1.95,69774
Acer,Notebook,14.0,4K,AMD Ryzen 5,16,256GB SSD,Intel UHD,Windows 11,1.21,53400
Acer,Ultrabook,16.0,4K,AMD Ryzen 5,16,512GB SSD,Intel Iris,Linux,1.39,62142
Asus,Workstation,16.0,4K,Intel Core i5,8,512GB SSD,Intel UHD,Windows 10,2.09,38586
MSI,Workstation,16.0,4K,Apple M1,16,512GB SSD,AMD Radeon,Windows 11,1.7,84321
Asus,Gaming,16.0,4K,AMD Ryzen 5,16,512GB SSD,Intel Iris,Linux,1.92,47985
Dell,Workstation,14.0,Retina,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3050,Windows 10,1.96,94629
Asus,Workstation,16.0,4K,AMD Ryzen 7,16,256GB SSD,Nvidia GTX 1650,Linux,2.17,79654
Dell,Workstation,15.6,Retina,Apple M2,8,1TB SSD,Intel Iris,Linux,1.41,80129
MSI,Gaming,15.6,Full HD,Apple M1,32,512GB SSD,Nvidia RTX 3050,Linux,2.14,122343
Apple,Notebook,16.0,Full HD,Apple M1,16,512GB SSD,Nvidia GTX 1650,macOS,1.31,155980
Acer,Ultrabook,15.6,4K,AMD Ryzen 7,8,256GB SSD,Intel Iris,macOS,1.75,67145
Dell,Notebook,15.6,Retina,Apple M2,16,256GB SSD,Intel UHD,Windows 11,1.47,88719
HP,Notebook,13.3,4K,AMD Ryzen 7,32,256GB SSD,Nvidia GTX 1650,Windows 10,1.25,75108
Lenovo,Workstation,14.0,4K,Apple M2,8,1TB SSD,Nvidia GTX 1650,Windows 10,2.06,87888
Lenovo,Gaming,13.3,4K,Intel Core i5,32,512GB SSD,Intel Iris,Windows 11,2.32,51285
MSI,Workstation,15.6,Full HD,AMD Ryzen 5,8,512GB SSD,Intel UHD,macOS,2.34,33159
HP,Workstation,13.3,Full HD,Intel Core i5,8,512GB SSD,AMD Radeon,Windows 10,2.43,36267
Acer,Notebook,14.0,4K,AMD Ryzen 5,8,256GB SSD,AMD Radeon,Windows 11,2.36,37894
Dell,Ultrabook,14.0,Full HD,Intel Core i5,16,1TB SSD,AMD Radeon,Linux,1.61,63617
Dell,Gaming,16.0,Retina,Intel Core i5,16,256GB SSD,AMD Radeon,macOS,1.26,57728
Acer,Workstation,16.0,Full HD,Intel Core i5,32,512GB SSD,AMD Radeon,Windows 10,1.73,55216
Dell,Notebook,16.0,Retina,AMD Ryzen 7,16,256GB SSD,Intel Iris,macOS,1.74,70475
MSI,Gaming,15.6,4K,AMD Ryzen 5,16,256GB SSD,AMD Radeon,macOS,1.98,57912
Lenovo,Ultrabook,13.3,Full HD,Apple M1,8,1TB SSD,Nvidia RTX 3050,Windows 11,2.05,107476
Asus,Ultrabook,13.3,Retina,Intel Core i7,16,512GB SSD,Intel Iris,macOS,2.39,72788
Asus,Notebook,13.3,4K,Apple M1,16,256GB SSD,Nvidia GTX 1650,macOS,1.4,92621
Acer,Notebook,16.0,Full HD,Apple M2,16,512GB SSD,Nvidia RTX 3050,Windows 11,1.4,114791
Asus,Gaming,14.0,4K,AMD Ryzen 7,32,1TB SSD,Intel UHD,Windows 10,1.94,86314
Asus,Ultrabook,15.6,Retina,AMD Ryzen 7,8,512GB SSD,Nvidia GTX 1650,Linux,1.51,67629
Lenovo,Notebook,15.6,Full HD,Apple M2,16,1TB SSD,Intel Iris,macOS,1.9,108549
Lenovo,Notebook,13.3,4K,Intel Core i5,8,512GB SSD,Nvidia RTX 3050,Linux,1.66,72395
Acer,Gaming,14.0,Full HD,Apple M2,8,512GB SSD,Nvidia GTX 1650,Windows 11,1.31,74406
Lenovo,Gaming,15.6,4K,Apple M2,8,512GB SSD,Nvidia RTX 3050,Linux,2.49,104281
Dell,Gaming,14.0,4K,Intel Core i5,8,256GB SSD,Nvidia RTX 3050,Linux,1.32,62243
Dell,Workstation,16.0,4K,Intel Core i7,8,256GB SSD,Intel Iris,macOS,1.62,58127
Asus,Ultrabook,16.0,Retina,Intel Core i5,32,1TB SSD,Intel Iris,macOS,2.43,71210
Asus,Ultrabook,14.0,4K,Intel Core i5,8,256GB SSD,Intel UHD,Windows 11,1.79,39669
Dell,Workstation,14.0,Retina,AMD Ryzen 7,8,256GB SSD,Intel UHD,macOS,1.27,58185
Asus,Workstation,15.6,4K,Intel Core i7,8,512GB SSD,Nvidia GTX 1650,macOS,1.29,59497
Lenovo,Workstation,14.0,4K,AMD Ryzen 5,16,512GB SSD,Intel Iris,Linux,2.12,55602
Apple,Notebook,13.3,4K,Intel Core i5,32,1TB SSD,Intel UHD,macOS,1.36,123095
Acer,Workstation,14.0,Retina,Intel Core i7,32,256GB SSD,Nvidia RTX 3050,Linux,2.42,106737
Acer,Workstation,15.6,4K,Apple M1,32,512GB SSD,Nvidia RTX 3050,Windows 10,1.26,120889
Asus,Workstation,13.3,Full HD,Apple M1,16,1TB SSD,Intel UHD,Windows 11,1.31,99412
HP,Ultrabook,16.0,Retina,AMD Ryzen 7,8,256GB SSD,Nvidia GTX 1650,Windows 10,1.85,60242
Acer,Notebook,13.3,Retina,Intel Core i7,16,1TB SSD,Nvidia GTX 1650,Windows 11,1.95,94257
Acer,Notebook,14.0,4K,Intel Core i5,16,256GB SSD,Nvidia RTX 3050,macOS,2.18,79125
Dell,Workstation,13.3,Full HD,Apple M1,32,256GB SSD,AMD Radeon,macOS,2.05,86642
Apple,Workstation,14.0,4K,Intel Core i7,8,1TB SSD,AMD Radeon,macOS,2.24,129454
Dell,Ultrabook,16.0,4K,Intel Core i5,32,512GB SSD,AMD Radeon,Linux,1.75,61486
Lenovo,Workstation,14.0,Retina,AMD Ryzen 7,8,512GB SSD,Nvidia RTX 3050,Windows 10,2.07,91822
Acer,Notebook,15.6,4K,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,Windows 11,1.66,71463
HP,Gaming,15.6,Full HD,Apple M1,16,512GB SSD,AMD Radeon,Windows 11,2.3,86610
Asus,Workstation,15.6,Retina,AMD Ryzen 5,16,256GB SSD,AMD Radeon,Windows 10,2.05,48233
Dell,Gaming,16.0,Full HD,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,Windows 10,1.82,72553
Dell,Gaming,13.3,Full HD,Apple M2,8,1TB SSD,Nvidia GTX 1650,Windows 11,2.46,80862
Lenovo,Ultrabook,13.3,Full HD,Apple M1,8,512GB SSD,Nvidia RTX 3050,macOS,1.36,100382
Apple,Gaming,16.0,4K,Intel Core i7,16,512GB SSD,Intel Iris,macOS,1.31,135774
MSI,Notebook,14.0,4K,Apple M2,16,1TB SSD,Intel UHD,Windows 10,1.83,105849
Lenovo,Workstation,14.0,Retina,Apple M1,8,1TB SSD,Nvidia GTX 1650,Windows 10,2.3,86378
Apple,Workstation,13.3,Full HD,Intel Core i7,8,1TB SSD,Nvidia RTX 3050,macOS,1.27,153316
Dell,Gaming,16.0,4K,AMD Ryzen 7,8,512GB SSD,Nvidia GTX 1650,Linux,1.53,57800
Acer,Ultrabook,14.0,4K,Apple M2,8,256GB SSD,Nvidia RTX 3050,Windows 10,1.83,103728
Asus,Workstation,15.6,Retina,AMD Ryzen 7,16,512GB SSD,Intel Iris,Windows 10,1.31,76590
MSI,Ultrabook,14.0,4K,Apple M2,8,512GB SSD,Nvidia GTX 1650,Windows 11,2.41,73950
Lenovo,Workstation,13.3,Retina,Intel Core i7,8,1TB SSD,AMD Radeon,Windows 11,1.64,76115
Apple,Workstation,16.0,4K,Intel Core i7,8,1TB SSD,Intel Iris,macOS,1.78,134817
Asus,Gaming,13.3,Full HD,Apple M2,32,1TB SSD,Intel UHD,macOS,2.36,108148
Apple,Ultrabook,15.6,Full HD,Intel Core i7,16,512GB SSD,AMD Radeon,macOS,2.21,129785
Dell,Ultrabook,16.0,Full HD,AMD Ryzen 7,16,256GB SSD,Nvidia GTX 1650,Windows 11,1.47,67256
Asus,Workstation,14.0,4K,AMD Ryzen 7,8,512GB SSD,Intel UHD,Windows 11,2.01,53235
MSI,Workstation,15.6,4K,Intel Core i5,32,512GB SSD,Nvidia GTX 1650,Windows 10,2.31,62283
HP,Gaming,13.3,4K,AMD Ryzen 7,32,1TB SSD,Nvidia RTX 3050,Windows 11,1.89,115906
Asus,Workstation,15.6,Full HD,AMD Ryzen 7,8,1TB SSD,AMD Radeon,Windows 10,1.31,73304
HP,Gaming,16.0,4K,AMD Ryzen 7,8,1TB SSD,Intel UHD,macOS,1.42,64374
Dell,Ultrabook,13.3,Retina,Intel Core i7,16,256GB SSD,Intel Iris,Linux,1.44,79677
Acer,Gaming,13.3,Retina,Intel Core i7,8,1TB SSD,Nvidia RTX 3050,macOS,2.28,101934
Lenovo,Workstation,15.6,Retina,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,macOS,1.56,67123
Apple,Notebook,14.0,4K,Apple M1,16,512GB SSD,Intel UHD,macOS,2.24,150634
Acer,Workstation,14.0,4K,Intel Core i5,8,1TB SSD,Intel UHD,Linux,1.51,57699
Asus,Workstation,16.0,Retina,Apple M2,16,1TB SSD,Intel Iris,macOS,2.07,101944
HP,Notebook,15.6,Full HD,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,macOS,2.01,59523
Dell,Notebook,15.6,4K,Apple M2,8,256GB SSD,Nvidia GTX 1650,Windows 11,2.43,79315
Dell,Ultrabook,14.0,Retina,Intel Core i7,8,256GB SSD,Intel Iris,Linux,1.93,58212
Dell,Ultrabook,13.3,Retina,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3050,Windows 10,1.52,93506
Asus,Gaming,15.6,4K,AMD Ryzen 7,32,1TB SSD,AMD Radeon,Linux,2.28,79522
Asus,Notebook,14.0,Retina,AMD Ryzen 7,16,1TB SSD,Intel Iris,Windows 10,1.65,86247
Asus,Notebook,15.6,Retina,AMD Ryzen 5,16,1TB SSD,Intel UHD,Windows 10,2.3,63708
Acer,Workstation,14.0,Retina,AMD Ryzen 5,8,1TB SSD,Intel UHD,Windows 10,2.14,53966
Acer,Gaming,13.3,4K,AMD Ryzen 5,16,1TB SSD,Intel UHD,Linux,2.07,60331
MSI,Workstation,14.0,4K,Intel Core i7,16,512GB SSD,Intel UHD,Windows 10,2.09,75167
Dell,Notebook,14.0,Retina,Intel Core i5,8,1TB SSD,Intel Iris,Windows 10,2.32,51769
Apple,Notebook,16.0,4K,Apple M1,8,1TB SSD,Nvidia GTX 1650,macOS,1.7,147176
HP,Workstation,16.0,Full HD,Apple M2,16,256GB SSD,Intel Iris,Linux,2.11,97503
Dell,Gaming,16.0,Full HD,Intel Core i5,16,256GB SSD,Intel UHD,Windows 11,1.88,51387
Acer,Gaming,13.3,Retina,Intel Core i7,32,256GB SSD,AMD Radeon,Linux,1.21,67385
MSI,Notebook,16.0,4K,Apple M2,16,1TB SSD,Nvidia RTX 3050,Windows 11,2.49,131922
MSI,Ultrabook,14.0,Retina,Intel Core i5,8,512GB SSD,Nvidia GTX 1650,Windows 10,1.66,33760
HP,Notebook,16.0,Full HD,Apple M1,8,256GB SSD,Intel UHD,Windows 10,1.56,75783
